method,class,n_true,n_predicted,accuracy_recall,precision,f1,delta_acc_vs_source_only
source_only,dog,772,127,0.1295,0.7874,0.2225,0.0
source_only,elephant,740,1505,0.9554,0.4698,0.6298,0.0
source_only,giraffe,753,1377,0.8672,0.4742,0.6131,0.0
source_only,guitar,608,458,0.7484,0.9934,0.8537,0.0
source_only,horse,816,189,0.212,0.9153,0.3443,0.0
source_only,house,80,66,0.8125,0.9848,0.8904,0.0
source_only,person,160,207,0.6125,0.4734,0.5341,0.0
dan,dog,772,367,0.3446,0.7248,0.4671,0.215
dan,elephant,740,682,0.7797,0.846,0.8115,-0.1757
dan,giraffe,753,605,0.7092,0.8826,0.7865,-0.158
dan,guitar,608,571,0.9276,0.9877,0.9567,0.1793
dan,horse,816,650,0.674,0.8462,0.7503,0.462
dan,house,80,369,1.0,0.2168,0.3563,0.1875
dan,person,160,685,0.8,0.1869,0.303,0.1875
dann,dog,772,16,0.0091,0.4375,0.0178,-0.1205
dann,elephant,740,1200,0.6176,0.3808,0.4711,-0.3378
dann,giraffe,753,434,0.2258,0.3917,0.2864,-0.6414
dann,guitar,608,2,0.0033,1.0,0.0066,-0.7451
dann,horse,816,1359,0.614,0.3687,0.4607,0.402
dann,house,80,3,0.0375,1.0,0.0723,-0.775
dann,person,160,915,0.4688,0.082,0.1395,-0.1438
cdan,dog,772,0,0.0,0.0,0.0,-0.1295
cdan,elephant,740,0,0.0,0.0,0.0,-0.9554
cdan,giraffe,753,0,0.0,0.0,0.0,-0.8672
cdan,guitar,608,0,0.0,0.0,0.0,-0.7484
cdan,horse,816,0,0.0,0.0,0.0,-0.212
cdan,house,80,3929,1.0,0.0204,0.0399,0.1875
cdan,person,160,0,0.0,0.0,0.0,-0.6125
dann_stabilized,dog,772,0,0.0,0.0,0.0,-0.1295
dann_stabilized,elephant,740,0,0.0,0.0,0.0,-0.9554
dann_stabilized,giraffe,753,0,0.0,0.0,0.0,-0.8672
dann_stabilized,guitar,608,3929,1.0,0.1547,0.268,0.2516
dann_stabilized,horse,816,0,0.0,0.0,0.0,-0.212
dann_stabilized,house,80,0,0.0,0.0,0.0,-0.8125
dann_stabilized,person,160,0,0.0,0.0,0.0,-0.6125
cdan_stabilized,dog,772,857,0.3381,0.3046,0.3204,0.2085
cdan_stabilized,elephant,740,107,0.1365,0.9439,0.2385,-0.8189
cdan_stabilized,giraffe,753,366,0.4582,0.9426,0.6166,-0.409
cdan_stabilized,guitar,608,517,0.8438,0.9923,0.912,0.0954
cdan_stabilized,horse,816,295,0.3346,0.9254,0.4914,0.1225
cdan_stabilized,house,80,52,0.5375,0.8269,0.6515,-0.275
cdan_stabilized,person,160,1735,1.0,0.0922,0.1689,0.3875
