method,class,n_true,n_predicted,accuracy_recall,precision,f1,delta_acc_vs_erm
erm,dog,772,127,0.1295,0.7874,0.2225,0.0
erm,elephant,740,1505,0.9554,0.4698,0.6298,0.0
erm,giraffe,753,1377,0.8672,0.4742,0.6131,0.0
erm,guitar,608,458,0.7484,0.9934,0.8537,0.0
erm,horse,816,189,0.212,0.9153,0.3443,0.0
erm,house,80,66,0.8125,0.9848,0.8904,0.0
erm,person,160,207,0.6125,0.4734,0.5341,0.0
dan_dg,dog,772,327,0.2552,0.6024,0.3585,0.1256
dan_dg,elephant,740,743,0.7243,0.7214,0.7229,-0.2311
dan_dg,giraffe,753,1043,0.8048,0.581,0.6748,-0.0624
dan_dg,guitar,608,446,0.7253,0.9888,0.8368,-0.023
dan_dg,horse,816,406,0.3824,0.7685,0.5106,0.1703
dan_dg,house,80,43,0.525,0.9767,0.6829,-0.2875
dan_dg,person,160,921,0.8438,0.1466,0.2498,0.2312
sam,dog,772,520,0.4508,0.6692,0.5387,0.3212
sam,elephant,740,1322,0.9149,0.5121,0.6566,-0.0405
sam,giraffe,753,594,0.6149,0.7795,0.6875,-0.2523
sam,guitar,608,571,0.9062,0.965,0.9347,0.1579
sam,horse,816,715,0.6299,0.7189,0.6715,0.4179
sam,house,80,106,0.925,0.6981,0.7957,0.1125
sam,person,160,101,0.3563,0.5644,0.4368,-0.2563
