unknown_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
bus,3,13,0,0,0,0,0,1,1,69
camel,1,0,8,2,15,15,0,13,0,1
fox,1,0,0,30,26,13,0,2,0,0
leopard,0,0,0,30,6,6,18,0,0,0
motorcycle,4,21,0,2,0,0,2,0,0,8
pickup_truck,0,65,0,0,0,0,0,0,0,29
tractor,0,3,0,0,1,0,0,0,4,49
wolf,0,0,3,37,3,33,0,2,0,0
bottle,3,0,2,10,0,0,1,0,21,5
bowl,4,6,3,12,0,5,8,0,7,1
chair,8,1,6,3,0,0,0,0,1,14
clock,5,13,3,17,0,4,1,0,5,7
keyboard,3,2,7,5,0,0,4,1,0,13
mushroom,1,0,18,9,2,6,12,0,0,0
sunflower,0,0,19,6,1,9,3,0,0,1
wardrobe,0,0,0,12,0,0,0,0,0,46
