unknown_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
bus,2,11,0,0,0,0,0,0,1,73
camel,2,0,14,3,13,15,1,15,0,0
fox,2,0,2,29,18,15,0,4,0,0
leopard,0,0,3,33,6,4,24,0,0,0
motorcycle,10,26,0,3,0,0,1,0,0,10
pickup_truck,1,60,0,0,0,0,0,0,0,30
tractor,1,3,0,0,0,0,0,0,4,61
wolf,0,0,1,35,3,37,2,1,0,0
bottle,1,1,4,11,0,3,1,0,15,9
bowl,2,5,6,10,0,5,10,0,11,1
chair,25,2,9,4,0,0,0,0,1,12
clock,1,9,6,13,0,1,1,0,15,6
keyboard,10,1,3,7,0,0,3,0,2,12
mushroom,1,0,32,10,4,3,7,0,1,0
sunflower,1,0,28,8,1,12,5,0,0,3
wardrobe,0,0,3,27,0,1,0,0,0,41
