unknown_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
bus,2,11,0,0,0,0,0,0,1,74
camel,3,0,15,3,13,17,1,16,0,1
fox,2,0,2,31,20,15,0,3,0,0
leopard,0,0,3,30,6,4,22,0,0,0
motorcycle,10,19,0,4,0,0,1,0,0,7
pickup_truck,1,57,0,0,0,0,0,0,0,28
tractor,1,3,0,0,0,0,1,0,6,57
wolf,0,0,1,37,2,36,2,0,0,0
bottle,1,2,5,14,0,2,0,0,17,9
bowl,2,7,6,10,0,4,10,0,11,1
chair,28,2,11,4,0,0,0,0,2,12
clock,4,10,8,12,0,1,1,0,13,6
keyboard,11,0,3,6,0,0,4,0,2,12
mushroom,1,0,33,10,3,3,7,0,0,1
sunflower,1,0,25,11,1,11,6,0,0,4
wardrobe,0,0,3,24,0,1,0,0,0,39
