unknown_class,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
bus,2,13,0,0,0,0,0,1,2,68
camel,2,0,9,2,13,17,0,19,0,0
fox,2,0,1,30,18,16,0,3,0,0
leopard,0,0,1,29,7,4,29,0,0,0
motorcycle,9,16,0,2,0,0,1,0,0,8
pickup_truck,0,64,0,0,0,0,0,0,0,25
tractor,1,2,0,0,0,0,0,0,3,48
wolf,0,0,1,36,3,35,2,1,0,0
bottle,0,1,4,14,0,1,0,0,14,6
bowl,2,5,7,11,0,4,8,0,9,1
chair,29,2,6,4,0,0,0,0,1,6
clock,3,6,6,9,0,0,1,0,14,6
keyboard,10,1,3,5,0,0,1,0,0,10
mushroom,1,0,28,6,1,2,7,1,0,0
sunflower,1,0,22,7,1,13,7,0,0,1
wardrobe,0,0,2,31,0,0,0,0,0,35
