group,unknown_class,cifar100_test_index,row,predicted_class,score_u,threshold_tau,margin_tau_minus_u,max_softmax_prob,a_priori_semantic_neighbour,your_judgement
far,mushroom,4982,1207,bird,-12.36999225616455,-5.780368304252624,6.589623951911927,0.9999829139091093,surprising,
far,keyboard,6297,1317,bird,-12.238081932067871,-5.780368304252624,6.457713627815247,0.9999799678880693,surprising,
near,camel,4234,311,deer,-11.890063285827637,-5.780368304252624,6.109694981575013,0.9999663361035693,plausible,
near,pickup_truck,7658,614,automobile,-11.674239158630371,-5.780368304252624,5.893870854377747,0.9999695207993351,plausible,
near,fox,959,75,dog,-11.672513008117676,-5.780368304252624,5.892144703865052,0.9997737390429301,plausible,
far,bottle,3888,1122,cat,-11.527181625366211,-5.780368304252624,5.746813321113587,0.9999098908230735,surprising,
near,bus,5201,410,truck,-11.353097915649414,-5.780368304252624,5.57272961139679,0.9998233505226471,plausible,
near,bus,7133,562,truck,-11.165925025939941,-5.780368304252624,5.385556721687317,0.9999346881800514,plausible,
near,bus,2665,196,truck,-11.055606842041016,-5.780368304252624,5.2752385377883915,0.9999320568127174,plausible,
near,pickup_truck,9081,730,automobile,-11.030911445617676,-5.780368304252624,5.250543141365052,0.9999139443589807,plausible,
far,bowl,2797,1029,cat,-10.945569038391113,-5.780368304252624,5.165200734138489,0.9999249922503926,surprising,
near,bus,5184,407,truck,-10.927184104919434,-5.780368304252624,5.146815800666809,0.9999120235988285,plausible,
near,bus,2832,206,truck,-10.90178108215332,-5.780368304252624,5.121412777900696,0.9999186178857621,plausible,
near,pickup_truck,7389,587,automobile,-10.870708465576172,-5.780368304252624,5.090340161323548,0.9998686875693205,plausible,
near,bus,8655,691,truck,-10.850764274597168,-5.780368304252624,5.070395970344544,0.999921159806741,plausible,
near,camel,6418,516,deer,-10.840031623840332,-5.780368304252624,5.059663319587708,0.9998904005925633,plausible,
far,keyboard,8369,1480,truck,-10.75866413116455,-5.780368304252624,4.978295826911927,0.9999195007935467,surprising,
