group,unknown_class,cifar100_test_index,row,predicted_class,score_u,threshold_tau,margin_tau_minus_u,max_softmax_prob,a_priori_semantic_neighbour,your_judgement
near,camel,4234,311,deer,-11.890063285827637,-5.780368304252624,6.109694981575013,0.9999663361035693,plausible,
near,pickup_truck,7658,614,automobile,-11.674239158630371,-5.780368304252624,5.893870854377747,0.9999695207993351,plausible,
near,fox,959,75,dog,-11.672513008117676,-5.780368304252624,5.892144703865052,0.9997737390429301,plausible,
near,bus,5201,410,truck,-11.353097915649414,-5.780368304252624,5.57272961139679,0.9998233505226471,plausible,
near,tractor,8996,721,ship,-10.546733856201172,-5.780368304252624,4.766365551948548,0.9998870505319047,surprising,
near,wolf,809,62,dog,-10.504907608032227,-5.780368304252624,4.724539303779602,0.999735922658824,plausible,
near,leopard,6395,509,frog,-10.01364803314209,-5.780368304252624,4.233279728889466,0.9998082803801385,surprising,
near,motorcycle,3558,255,automobile,-9.567949295043945,-5.780368304252624,3.787580990791321,0.9996839702501173,plausible,
far,mushroom,4982,1207,bird,-12.36999225616455,-5.780368304252624,6.589623951911927,0.9999829139091093,surprising,
far,keyboard,6297,1317,bird,-12.238081932067871,-5.780368304252624,6.457713627815247,0.9999799678880693,surprising,
far,bottle,3888,1122,cat,-11.527181625366211,-5.780368304252624,5.746813321113587,0.9999098908230735,surprising,
far,bowl,2797,1029,cat,-10.945569038391113,-5.780368304252624,5.165200734138489,0.9999249922503926,surprising,
far,clock,4859,1198,cat,-10.62252140045166,-5.780368304252624,4.842153096199036,0.9998747740445318,surprising,
far,sunflower,5260,1225,bird,-10.563408851623535,-5.780368304252624,4.783040547370911,0.9998115042800824,surprising,
far,wardrobe,3149,1059,truck,-9.86800765991211,-5.780368304252624,4.087639355659485,0.9993895785559974,surprising,
far,chair,5683,1257,airplane,-9.534862518310547,-5.780368304252624,3.7544942140579227,0.9996506524668054,surprising,
