model,score,group,unknown_class,n,accept_rate,top_absorbing_class,top_absorbing_share_of_accepted,argmax_class_all_images
vanilla,msp,near,bus,100,0.86,truck,0.8023255813953488,truck
vanilla,msp,near,pickup_truck,100,0.8,automobile,0.725,automobile
vanilla,msp,near,wolf,100,0.8,cat,0.45,cat
vanilla,msp,near,leopard,100,0.73,cat,0.410958904109589,cat
vanilla,msp,near,fox,100,0.7,cat,0.42857142857142855,cat
vanilla,msp,near,camel,100,0.68,horse,0.2647058823529412,dog
vanilla,msp,near,tractor,100,0.68,truck,0.8235294117647058,truck
vanilla,msp,near,motorcycle,100,0.52,automobile,0.4807692307692308,automobile
vanilla,msp,far,sunflower,100,0.62,bird,0.41935483870967744,bird
vanilla,msp,far,bowl,100,0.59,frog,0.22033898305084745,cat
vanilla,msp,far,wardrobe,100,0.59,cat,0.4915254237288136,truck
vanilla,msp,far,chair,100,0.57,airplane,0.5789473684210527,airplane
vanilla,msp,far,clock,100,0.57,cat,0.2807017543859649,cat
vanilla,msp,far,bottle,100,0.53,ship,0.3584905660377358,cat
vanilla,msp,far,mushroom,100,0.53,bird,0.5094339622641509,bird
vanilla,msp,far,keyboard,100,0.51,airplane,0.29411764705882354,airplane
vanilla,mls,near,pickup_truck,100,0.89,automobile,0.7191011235955056,automobile
vanilla,mls,near,bus,100,0.86,truck,0.7906976744186046,truck
vanilla,mls,near,wolf,100,0.78,cat,0.46153846153846156,cat
vanilla,mls,near,fox,100,0.7,cat,0.42857142857142855,cat
vanilla,mls,near,leopard,100,0.7,cat,0.4142857142857143,cat
vanilla,mls,near,camel,100,0.62,horse,0.3064516129032258,dog
vanilla,mls,near,tractor,100,0.54,truck,0.8888888888888888,truck
vanilla,mls,near,motorcycle,100,0.36,automobile,0.4444444444444444,automobile
vanilla,mls,far,wardrobe,100,0.68,truck,0.5147058823529411,truck
vanilla,mls,far,sunflower,100,0.52,bird,0.4230769230769231,bird
vanilla,mls,far,chair,100,0.48,airplane,0.6041666666666666,airplane
vanilla,mls,far,bowl,100,0.47,cat,0.23404255319148937,cat
vanilla,mls,far,mushroom,100,0.46,bird,0.6086956521739131,bird
vanilla,mls,far,clock,100,0.45,ship,0.3111111111111111,cat
vanilla,mls,far,bottle,100,0.4,cat,0.35,cat
vanilla,mls,far,keyboard,100,0.3,airplane,0.3333333333333333,airplane
vanilla,energy,near,pickup_truck,100,0.9,automobile,0.7222222222222222,automobile
vanilla,energy,near,bus,100,0.85,truck,0.788235294117647,truck
vanilla,energy,near,wolf,100,0.77,dog,0.4805194805194805,cat
vanilla,energy,near,fox,100,0.69,cat,0.43478260869565216,cat
vanilla,energy,near,leopard,100,0.68,cat,0.4264705882352941,cat
vanilla,energy,near,camel,100,0.6,horse,0.3,dog
vanilla,energy,near,tractor,100,0.53,truck,0.8490566037735849,truck
vanilla,energy,near,motorcycle,100,0.34,automobile,0.47058823529411764,automobile
vanilla,energy,far,wardrobe,100,0.65,truck,0.5076923076923077,truck
vanilla,energy,far,sunflower,100,0.5,bird,0.42,bird
vanilla,energy,far,mushroom,100,0.48,bird,0.5833333333333334,bird
vanilla,energy,far,bowl,100,0.47,cat,0.2127659574468085,cat
vanilla,energy,far,clock,100,0.45,ship,0.28888888888888886,cat
vanilla,energy,far,chair,100,0.42,airplane,0.6190476190476191,airplane
vanilla,energy,far,bottle,100,0.39,ship,0.358974358974359,cat
vanilla,energy,far,keyboard,100,0.29,truck,0.3448275862068966,airplane
vanilla,mahalanobis,near,bus,100,0.85,truck,0.8117647058823529,truck
vanilla,mahalanobis,near,pickup_truck,100,0.85,automobile,0.7058823529411765,automobile
vanilla,mahalanobis,near,wolf,100,0.84,cat,0.4642857142857143,cat
vanilla,mahalanobis,near,fox,100,0.73,cat,0.4246575342465753,cat
vanilla,mahalanobis,near,camel,100,0.69,horse,0.2898550724637681,dog
vanilla,mahalanobis,near,leopard,100,0.68,frog,0.4411764705882353,cat
vanilla,mahalanobis,near,tractor,100,0.67,truck,0.8208955223880597,truck
vanilla,mahalanobis,near,motorcycle,100,0.45,automobile,0.4666666666666667,automobile
vanilla,mahalanobis,far,chair,100,0.61,airplane,0.5573770491803278,airplane
vanilla,mahalanobis,far,mushroom,100,0.55,bird,0.4909090909090909,bird
vanilla,mahalanobis,far,bowl,100,0.52,frog,0.23076923076923078,cat
vanilla,mahalanobis,far,bottle,100,0.51,ship,0.37254901960784315,cat
vanilla,mahalanobis,far,sunflower,100,0.48,bird,0.375,bird
vanilla,mahalanobis,far,clock,100,0.42,cat,0.2619047619047619,cat
vanilla,mahalanobis,far,wardrobe,100,0.38,truck,0.5263157894736842,truck
vanilla,mahalanobis,far,keyboard,100,0.35,airplane,0.3142857142857143,airplane
gcsc,mls,near,pickup_truck,100,0.94,automobile,0.6914893617021277,automobile
gcsc,mls,near,bus,100,0.87,truck,0.7931034482758621,truck
gcsc,mls,near,wolf,100,0.78,cat,0.47435897435897434,cat
gcsc,mls,near,fox,100,0.72,cat,0.4166666666666667,cat
gcsc,mls,near,leopard,100,0.6,cat,0.5,cat
gcsc,mls,near,tractor,100,0.57,truck,0.8596491228070176,truck
gcsc,mls,near,camel,100,0.55,deer,0.2727272727272727,deer
gcsc,mls,near,motorcycle,100,0.37,automobile,0.5675675675675675,automobile
gcsc,mls,far,wardrobe,100,0.58,truck,0.7931034482758621,truck
gcsc,mls,far,clock,100,0.55,cat,0.3090909090909091,cat
gcsc,mls,far,mushroom,100,0.48,bird,0.375,bird
gcsc,mls,far,bowl,100,0.46,cat,0.2608695652173913,cat
gcsc,mls,far,bottle,100,0.42,ship,0.5,ship
gcsc,mls,far,sunflower,100,0.39,bird,0.48717948717948717,bird
gcsc,mls,far,keyboard,100,0.35,truck,0.37142857142857144,truck
gcsc,mls,far,chair,100,0.33,truck,0.42424242424242425,airplane
proser,mls,near,pickup_truck,100,0.91,automobile,0.6593406593406593,automobile
proser,mls,near,bus,100,0.87,truck,0.8390804597701149,truck
proser,mls,near,wolf,100,0.79,dog,0.46835443037974683,cat
proser,mls,near,fox,100,0.7,cat,0.4142857142857143,cat
proser,mls,near,leopard,100,0.7,cat,0.4714285714285714,cat
proser,mls,near,tractor,100,0.69,truck,0.8840579710144928,truck
proser,mls,near,camel,100,0.63,dog,0.23809523809523808,dog
proser,mls,near,motorcycle,100,0.5,automobile,0.52,automobile
proser,mls,far,wardrobe,100,0.72,truck,0.5694444444444444,truck
proser,mls,far,mushroom,100,0.58,bird,0.5517241379310345,bird
proser,mls,far,sunflower,100,0.58,bird,0.4827586206896552,bird
proser,mls,far,chair,100,0.53,airplane,0.4716981132075472,airplane
proser,mls,far,clock,100,0.52,ship,0.28846153846153844,cat
proser,mls,far,bowl,100,0.5,ship,0.22,cat
proser,mls,far,bottle,100,0.45,ship,0.3333333333333333,cat
proser,mls,far,keyboard,100,0.38,truck,0.3157894736842105,truck
proser,proser_dummy,near,bus,100,0.88,truck,0.8409090909090909,truck
proser,proser_dummy,near,pickup_truck,100,0.86,automobile,0.6627906976744186,automobile
proser,proser_dummy,near,wolf,100,0.78,cat,0.47435897435897434,cat
proser,proser_dummy,near,fox,100,0.73,cat,0.4246575342465753,cat
proser,proser_dummy,near,camel,100,0.69,dog,0.2463768115942029,dog
proser,proser_dummy,near,tractor,100,0.68,truck,0.8382352941176471,truck
proser,proser_dummy,near,leopard,100,0.65,cat,0.46153846153846156,cat
proser,proser_dummy,near,motorcycle,100,0.41,automobile,0.4634146341463415,automobile
proser,proser_dummy,far,wardrobe,100,0.67,truck,0.582089552238806,truck
proser,proser_dummy,far,chair,100,0.59,airplane,0.4745762711864407,airplane
proser,proser_dummy,far,sunflower,100,0.59,bird,0.423728813559322,bird
proser,proser_dummy,far,mushroom,100,0.58,bird,0.5689655172413793,bird
proser,proser_dummy,far,clock,100,0.55,ship,0.23636363636363636,cat
proser,proser_dummy,far,bowl,100,0.51,ship,0.21568627450980393,cat
proser,proser_dummy,far,bottle,100,0.5,ship,0.34,cat
proser,proser_dummy,far,keyboard,100,0.38,truck,0.3157894736842105,truck
proser,proser_margin,near,bus,100,0.85,truck,0.8470588235294118,truck
proser,proser_margin,near,pickup_truck,100,0.85,automobile,0.6705882352941176,automobile
proser,proser_margin,near,wolf,100,0.77,dog,0.4805194805194805,cat
proser,proser_margin,near,tractor,100,0.7,truck,0.8428571428571429,truck
proser,proser_margin,near,camel,100,0.69,dog,0.2463768115942029,dog
proser,proser_margin,near,fox,100,0.68,cat,0.4264705882352941,cat
proser,proser_margin,near,leopard,100,0.68,cat,0.45588235294117646,cat
proser,proser_margin,near,motorcycle,100,0.45,automobile,0.5111111111111111,automobile
proser,proser_margin,far,wardrobe,100,0.63,truck,0.5555555555555556,truck
proser,proser_margin,far,clock,100,0.58,ship,0.25862068965517243,cat
proser,proser_margin,far,sunflower,100,0.58,bird,0.43103448275862066,bird
proser,proser_margin,far,chair,100,0.56,airplane,0.4642857142857143,airplane
proser,proser_margin,far,mushroom,100,0.55,bird,0.5818181818181818,bird
proser,proser_margin,far,bowl,100,0.53,ship,0.22641509433962265,cat
proser,proser_margin,far,bottle,100,0.49,ship,0.32653061224489793,cat
proser,proser_margin,far,keyboard,100,0.4,truck,0.3,truck
