model,score,csa,auroc_near,auroc_far,auroc_all,tau,val_accept,test_accept,near_reject,far_reject,all_reject,fpr95_near,fpr95_far,fpr95_all
vanilla,msp,0.9482,0.8210064374999999,0.8975713750000002,0.85928890625,0.15828604332598187,0.95,0.9462,0.27875000000000005,0.43625,0.35750000000000004,0.72125,0.56375,0.6425
vanilla,mls,0.9482,0.8064069374999999,0.89402175,0.85021434375,-5.780368304252624,0.95,0.9511,0.31875,0.53,0.42437499999999995,0.68125,0.47,0.575625
vanilla,energy,0.9482,0.8066556874999999,0.8944237500000002,0.8505397187499999,-5.967682782611775,0.95,0.9529,0.32999999999999996,0.54375,0.436875,0.67,0.45625,0.563125
vanilla,mahalanobis,0.9482,0.8053603125000001,0.918873875,0.8621170937499999,2929.3096842369573,0.95,0.9479,0.28,0.5225,0.40125,0.72,0.4775,0.59875
gcsc,msp,0.9496,0.8326878125000001,0.9018476249999998,0.8672677187500001,0.20267972818178817,0.95,0.9519,0.29625,0.42625,0.36124999999999996,0.70375,0.57375,0.63875
gcsc,mls,0.9496,0.8143838124999999,0.8976966249999999,0.85604021875,-5.989351606369016,0.95,0.9532,0.32499999999999996,0.5549999999999999,0.43999999999999995,0.675,0.445,0.56
gcsc,energy,0.9496,0.8138579375000001,0.8980881249999999,0.85597303125,-6.218033359505221,0.95,0.9529,0.32499999999999996,0.55625,0.44062500000000004,0.675,0.44375,0.559375
gcsc,mahalanobis,0.9496,0.7719043125,0.9164538750000001,0.8441790937500001,1976.484687410472,0.95,0.9516,0.23375,0.47875,0.35624999999999996,0.76625,0.52125,0.64375
proser,msp,0.9419,0.8171830625000001,0.8933757500000001,0.8552794062499999,0.17358581045221616,0.95,0.9501,0.27375000000000005,0.405,0.339375,0.72625,0.595,0.660625
proser,mls,0.9419,0.7980618749999999,0.896383875,0.847222875,-4.825717067718504,0.95,0.9537,0.27625,0.4675,0.37187499999999996,0.72375,0.5325,0.628125
proser,energy,0.9419,0.7979448124999999,0.8969706249999999,0.8474577187499999,-5.036694703472264,0.95,0.954,0.27375000000000005,0.48750000000000004,0.380625,0.72625,0.5125,0.619375
proser,mahalanobis,0.9419,0.8039416875,0.9151122500000001,0.8595269687499999,2634.2369528770737,0.95,0.9515,0.25875000000000004,0.5037499999999999,0.38125,0.74125,0.49625,0.61875
proser,proser_dummy,0.9419,0.7932865625,0.885111625,0.83919909375,0.6307086397811072,0.95,0.9554,0.29000000000000004,0.45375,0.37187499999999996,0.71,0.54625,0.628125
proser,proser_margin,0.9419,0.7931275625,0.884355125,0.8387413437500001,0.7620914697647099,0.95,0.9544,0.29125,0.45999999999999996,0.375625,0.70875,0.54,0.624375
